Log10[-delta] | Log10[Gamma/mA] | Log10 [Oh2full/Oh2simp]
--------------+-------------------+-----------------------
0.657577	-3.3	0.161142
0.657577	-3.	0.0884021
0.657577	-2.7	0.0481194
0.657577	-2.4	0.0243593
0.657577	-2.1	0.0156146
0.657577	-1.8	0.0116513
0.657577	-1.5	0.0105187
0.657577	-1.2	0.00888324
0.657577	-1.	0.00734467
0.657577	-6.	1.59946
0.657577	-5.7	1.57373
0.657577	-5.4	1.52622
0.657577	-5.1	1.43821
0.657577	-4.8	1.28726
0.657577	-4.5	1.06197
0.657577	-4.2	0.775434
0.657577	-3.9	0.495759
0.657577	-3.6	0.285004
0.68	-3.3	0.190407
0.68	-3.	0.101303
0.68	-2.7	0.0578223
0.68	-2.4	0.0323845
0.68	-2.1	0.0188616
0.68	-1.8	0.0141506
0.68	-1.5	0.0116663
0.68	-1.2	0.00965567
0.68	-1.	0.00792321
0.68	-6.	1.5701
0.68	-5.7	1.551
0.68	-5.4	1.51464
0.68	-5.1	1.44666
0.68	-4.8	1.32289
0.68	-4.5	1.12533
0.68	-4.2	0.855768
0.68	-3.9	0.565878
0.68	-3.6	0.333545
0.744727	-3.3	0.274266
0.744727	-3.	0.158094
0.744727	-2.7	0.0894186
0.744727	-2.4	0.0514938
0.744727	-2.1	0.0303657
0.744727	-1.8	0.0208222
0.744727	-1.5	0.0157347
0.744727	-1.2	0.0121697
0.744727	-1.	0.00919616
0.744727	-6.	1.47349
0.744727	-5.7	1.46427
0.744727	-5.4	1.44636
0.744727	-5.1	1.41251
0.744727	-4.8	1.34622
0.744727	-4.5	1.22134
0.744727	-4.2	1.01837
0.744727	-3.9	0.748593
0.744727	-3.6	0.477585
0.8	-3.3	0.348355
0.8	-3.	0.198446
0.8	-2.7	0.118481
0.8	-2.4	0.0701736
0.8	-2.1	0.0425379
0.8	-1.8	0.0283367
0.8	-1.5	0.0202478
0.8	-1.2	0.0144237
0.8	-1.	0.0102049
0.8	-6.	1.37856
0.8	-5.7	1.3728
